no	state	constituency	nameofelectedmp	partyaffiliation
128	Haryana	Bhiwani–Mahendragarh	Dharambir Singh	Bharatiya Janata Party
129	Haryana	Gurgaon	Rao Inderjit Singh	Bharatiya Janata Party
130	Haryana	Faridabad	Krishan Pal Gurjar	Bharatiya Janata Party
131	Himachal Pradesh	Mandi	Ram Swaroop Sharma	Bharatiya Janata Party
132	Himachal Pradesh	Kangra	Kishan Kapoor	Bharatiya Janata Party
133	Himachal Pradesh	Hamirpur	Anurag Thakur	Bharatiya Janata Party
134	Himachal Pradesh	Shimla	Suresh Kumar Kashyap	Bharatiya Janata Party
135	Jammu and Kashmir	Baramulla	Mohammad Akbar Lone	Jammu & Kashmir National Conference
136	Jammu and Kashmir	Srinagar	Farooq Abdullah	Jammu & Kashmir National Conference
137	Jammu and Kashmir	Anantnag	Hasnain Masoodi	Jammu & Kashmir National Conference
138	Jammu and Kashmir	Ladakh	Jamyang Tsering Namgyal	Bharatiya Janata Party
139	Jammu and Kashmir	Udhampur	Jitendra Singh	Bharatiya Janata Party
140	Jammu and Kashmir	Jammu	Jugal Kishore Sharma	Bharatiya Janata Party
141	Jharkhand	Rajmahal	Vijay Kumar Hansdak	Jharkhand Mukti Morcha
142	Jharkhand	Dumka	Sunil Soren	Bharatiya Janata Party
143	Jharkhand	Godda	Nishikant Dubey	Bharatiya Janata Party
144	Jharkhand	Chatra	Sunil Kumar Singh	Bharatiya Janata Party
145	Jharkhand	Kodarma	Annapurna Devi Yadav	Bharatiya Janata Party
146	Jharkhand	Giridih	Chandra Prakash Choudhary	All Jharkhand Students Union
147	Jharkhand	Dhanbad	Pashupati Nath Singh	Bharatiya Janata Party
148	Jharkhand	Ranchi	Sanjay Seth	Bharatiya Janata Party
149	Jharkhand	Jamshedpur	Bidyut Baran Mahato	Bharatiya Janata Party
150	Jharkhand	Singhbhum	Geeta Koda	Indian National Congress
151	Jharkhand	Khunti	Arjun Munda	Bharatiya Janata Party
152	Jharkhand	Lohardaga	Sudarshan Bhagat	Bharatiya Janata Party
153	Jharkhand	Palamau	Vishnu Dayal Ram	Bharatiya Janata Party
154	Jharkhand	Hazaribagh	Jayant Sinha	Bharatiya Janata Party
155	Karnatka	Chikkodi	Annasaheb Jolle	Bharatiya Janata Party
156	Karnatka	Belgaum	Suresh Angadi	Bharatiya Janata Party
